Player,Pos,Squad,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Matt Doherty,DF,Tottenham,0,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
Gabriel Dos Santos,DF,Arsenal,3,190,185,5,5,0,22,7,0,0,0,0,0,157,16,17,164,14,8,0,1,174,0,3,0,4
Abdoulaye Doucouré,MF,Everton,1.4,46,46,0,0,0,8,0,0,0,0,0,0,33,10,3,3,42,0,0,0,40,0,0,1,0
Cheick Doucouré,MF,Crystal Palace,2.7,109,109,0,0,0,18,3,1,0,0,0,0,87,9,13,2,103,4,0,0,96,0,1,5,0
Flynn Downes,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,DFFW,Fulham,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Lewis Dunk,DF,Brighton,3,99,92,7,7,0,7,0,0,0,0,0,0,60,12,27,7,79,9,0,2,78,0,2,3,1
Malcolm Ebiowei,FW,Crystal Palace,0.1,3,3,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,2,0,0,0,1
Ederson,GK,Manchester City,3,93,79,14,4,0,2,2,0,0,0,0,0,70,4,19,62,12,0,0,19,83,0,2,2,0
Odsonne Édouard,FW,Crystal Palace,1.7,34,32,2,0,0,7,0,2,0,0,0,0,23,7,4,1,28,1,0,1,28,0,1,1,1
Anthony Elanga,FW,Manchester Utd,0.9,21,21,0,0,0,3,1,1,0,0,0,0,12,4,5,2,14,1,0,1,15,0,0,0,0
Harvey Elliott,MF,Liverpool,2.3,141,135,6,0,1,19,0,1,0,0,0,0,113,18,10,121,14,3,1,1,120,0,1,6,5
Mohamed Elyounoussi,MFFW,Southampton,1.7,33,33,0,0,0,5,1,0,0,0,0,0,16,5,12,6,21,5,0,0,16,1,0,2,2
Emerson,DF,Tottenham,2.9,142,126,16,0,0,16,4,9,0,0,0,0,99,27,16,12,109,3,16,1,113,0,2,3,9
Christian Eriksen,MFFW,Manchester Utd,2.9,168,152,16,6,0,24,12,3,7,2,4,1,110,16,42,36,120,7,0,0,120,0,5,7,4
Pervis Estupiñán,DF,Brighton,0.3,13,12,1,0,0,3,1,3,0,0,0,0,8,2,3,10,1,0,1,0,9,0,0,1,0
Jonny Evans,DF,Leicester City,3,213,210,3,3,0,14,0,0,0,0,0,0,171,9,33,75,120,12,0,0,195,0,1,1,1
Eberechi Eze,MFFW,Crystal Palace,2.8,120,100,20,10,1,19,10,5,8,2,5,1,82,14,24,18,93,6,0,0,94,2,3,6,2
Łukasz Fabiański,GK,West Ham,2.3,70,52,18,5,0,8,2,0,0,0,0,0,26,6,38,5,46,0,0,16,43,1,1,0,0
Fabinho,MF,Liverpool,2,173,168,5,4,0,18,8,1,0,0,0,0,135,10,28,14,147,7,1,1,156,0,1,3,1
Bruno Fernandes,MF,Manchester Utd,3,162,152,10,3,1,27,7,9,2,1,0,0,104,18,40,12,137,8,3,0,124,0,4,4,6
Roberto Firmino,FW,Liverpool,1.6,79,76,3,0,0,10,0,0,0,0,0,0,53,15,11,10,61,3,2,0,64,1,0,4,0
Phil Foden,FW,Manchester City,2.5,147,138,9,1,1,11,12,7,7,1,6,0,116,10,21,136,6,2,1,0,127,0,1,5,3
Wesley Fofana,DF,Leicester City,2,132,131,1,1,0,13,3,0,0,0,0,0,108,9,15,10,115,4,0,0,116,1,0,2,2
Pablo Fornals,MFFW,West Ham,2.4,103,97,6,0,0,16,3,3,2,2,0,0,68,17,18,13,83,3,1,0,78,2,0,3,4
Adam Forshaw,MF,Leeds United,0.4,9,9,0,0,0,1,0,0,0,0,0,0,7,2,0,2,7,0,0,0,9,0,0,0,0
Tyrese Francois,FW,Fulham,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0
Ryan Fraser,FW,Newcastle Utd,0.1,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0
Fred,MF,Manchester Utd,1.3,81,80,1,1,0,13,0,0,0,0,0,0,67,8,6,55,21,5,0,0,65,0,3,2,3
Conor Gallagher,MF,Chelsea,0.8,36,34,2,2,0,3,1,0,0,0,0,0,29,3,4,5,28,1,0,1,28,0,1,0,5
