,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Rúben Dias,DF,Manchester City,2.5,246,19,91,164,17,7,241,1,1,100,1,0,190,1171,628,16,5,0,1,0,208,205,98.6,0
Luis Díaz,FW,Liverpool,2.9,157,1,10,79,85,22,156,6,10,60,6,0,124,555,167,12,5,2,11,15,180,123,68.3,25
Eric Dier,DF,Tottenham,3,222,37,131,106,6,3,218,0,0,,0,0,148,896,460,6,1,0,2,2,163,161,98.8,0
Lucas Digne,DF,Aston Villa,3,244,16,68,92,96,10,214,0,2,0,0,0,145,592,374,20,4,1,0,3,167,154,92.2,6
Moussa Djenepo,DF,Southampton,2.8,143,6,38,67,46,6,125,7,12,58.3,8,1,96,700,411,24,4,2,2,2,80,71,88.8,2
Matt Doherty,DF,Tottenham,0,3,1,3,1,0,0,3,0,0,,0,0,2,4,1,0,0,0,0,0,2,2,100,0
Gabriel Dos Santos,DF,Arsenal,3,227,37,119,113,14,4,223,0,0,,0,0,152,953,578,15,6,0,1,1,163,163,100,1
Abdoulaye Doucouré,MF,Everton,1.4,58,1,18,27,15,5,58,0,0,,0,0,31,124,70,3,0,0,1,1,35,30,85.7,2
Cheick Doucouré,MF,Crystal Palace,2.7,128,3,42,75,19,1,128,0,2,0,0,0,82,378,181,9,2,1,2,1,87,83,95.4,1
Flynn Downes,MF,West Ham,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Shane Duffy,DFFW,Fulham,0,2,1,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lewis Dunk,DF,Brighton,3,133,25,88,49,1,1,126,0,0,,0,0,66,278,82,0,0,0,0,0,64,64,100,0
Malcolm Ebiowei,FW,Crystal Palace,0.1,4,0,0,0,4,1,4,1,1,100,1,0,5,21,9,1,0,1,1,0,4,4,100,1
Ederson,GK,Manchester City,3,95,81,95,0,0,0,81,0,0,,0,0,61,235,105,0,0,0,0,0,59,58,98.3,0
Odsonne Édouard,FW,Crystal Palace,1.7,64,3,9,35,25,7,62,1,3,33.3,1,1,32,142,105,6,3,2,6,6,72,45,62.5,3
Anthony Elanga,FW,Manchester Utd,0.9,33,0,4,12,19,4,33,2,4,50,2,0,26,91,43,2,1,0,2,2,35,28,80,3
Harvey Elliott,MF,Liverpool,2.3,171,0,17,83,82,12,165,5,5,100,5,0,132,523,233,14,7,1,6,3,156,134,85.9,14
Mohamed Elyounoussi,MFFW,Southampton,1.7,51,2,11,25,17,2,51,0,2,0,0,1,30,196,106,4,0,0,3,2,41,26,63.4,7
Emerson,DF,Tottenham,2.9,188,22,67,72,63,12,172,5,5,100,5,0,128,688,454,18,6,3,7,0,122,115,94.3,10
