Player,Pos,Squad,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Christian Nørgaard,MF,Brentford,3,3,241,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,0.1,0.1,0,0.2,0.04,0.02,0.06,0.04,0.06
Matheus Nunes,MF,Wolves,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.14,0.03,0.17,0.14,0.17
Darwin Núñez,FW,Liverpool,2,1,96,1.1,1,1,1,0,0,0,1,0.94,0.94,1.87,0.94,1.87,1.6,1.6,0.7,2.3,1.47,0.65,2.12,1.47,2.12
Lewis O'Brien,MF,Nott'ham Forest,3,3,254,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.04,0.06,0.03,0.06
Martin Ødegaard,MF,Arsenal,3,3,252,2.8,2,0,2,0,0,0,0,0.71,0,0.71,0.71,0.71,1,1,0.1,1,0.35,0.02,0.37,0.35,0.37
Michael Olise,FW,Crystal Palace,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.18
Amadou Onana,MF,Everton,2,0,44,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.25,0,0.25,0.25,0.25
Frank Onyeka,MF,Brentford,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Palhinha,MF,Fulham,3,3,270,3,1,0,1,0,0,2,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Cole Palmer,MF,Manchester City,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,MF,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.11,0,0.11,0.11,0.11
Nathan Patterson,DF,Everton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06
Ben Pearson,MF,Bournemouth,3,3,206,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Andreas Pereira,MF,Fulham,3,3,263,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.5,0.7,0.05,0.17,0.23,0.05,0.23
Ayoze Pérez,MF,Leicester City,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.07,0.09,0.16,0.07,0.16
Ivan Perišić,DF,Tottenham,3,1,112,1.2,0,2,0,0,0,0,0,0,1.61,1.61,0,1.61,0,0,1.3,1.3,0,1.01,1.01,0,1.01
Romain Perraud,DF,Southampton,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.42,0,0.42,0.42,0.42
Kalvin Phillips,MF,Manchester City,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,DF,Liverpool,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08
Jordan Pickford,GK,Everton,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.6,0.6,0,0.19,0.19,0,0.19
Daniel Podence,MFFW,Wolves,3,3,238,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.5,0.5,0.3,0.8,0.18,0.13,0.31,0.18,0.31
Nick Pope,GK,Newcastle Utd,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Praet,MF,Leicester City,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,MFFW,Chelsea,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.13,0,0.13,0.13,0.13
Aaron Ramsdale,GK,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Ramsey,MF,Aston Villa,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.08,0.1,0.03,0.1
Marcus Rashford,FW,Manchester Utd,3,3,265,2.9,1,0,1,0,0,1,0,0.34,0,0.34,0.34,0.34,1,1,0.1,1.1,0.34,0.05,0.38,0.34,0.38
David Raya,GK,Brentford,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Ream,DF,Fulham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Nathan Redmond,DF,Southampton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Reed,MF,Fulham,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.03,0.11,0.08,0.11
Bobby Reid,FW,Fulham,3,3,268,3,1,0,1,0,0,1,0,0.34,0,0.34,0.34,0.34,0.5,0.5,0.1,0.6,0.17,0.03,0.2,0.17,0.2
Declan Rice,MF,West Ham,3,3,270,3,0,0,0,0,1,1,0,0,0,0,0,0,0.9,0.1,0.1,0.2,0.3,0.02,0.32,0.04,0.06
Chris Richards,DF,Crystal Palace,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0.33
Richarlison,MFFW,Tottenham,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.21,0,0.21,0.21,0.21
Andrew Robertson,DF,Liverpool,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.02,0.07,0.09,0.02,0.09
Antonee Robinson,DF,Fulham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.06,0.07,0.01,0.07
Marc Roca,MF,Leeds United,3,3,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02
Marek Rodák,GK,Fulham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,MF,Manchester City,3,3,268,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
Rodrigo,FWMF,Leeds United,3,3,236,2.6,4,1,4,0,0,0,0,1.53,0.38,1.91,1.53,1.91,1.8,1.8,0.7,2.4,0.67,0.25,0.92,0.67,0.92
Mads Roerslev,DF,Brentford,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Romero,DF,Tottenham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.08,0,0.08,0.08,0.08
Oriol Romeu,MF,Southampton,1,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,Manchester Utd,3,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.26,0.1,0.36,0.26,0.36
Salomón Rondón,FW,Everton,2,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.76,0.03,0.79,0.76,0.79
José Sá,GK,Wolves,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Saint-Maximin,FW,Newcastle Utd,3,3,253,2.8,0,2,0,0,0,1,0,0,0.71,0.71,0,0.71,0.7,0.7,0.9,1.7,0.26,0.33,0.59,0.26,0.59
Bukayo Saka,FW,Arsenal,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.6,0.09,0.13,0.22,0.09,0.22
Mohamed Salah,FW,Liverpool,3,3,270,3,2,0,2,0,0,0,0,0.67,0,0.67,0.67,0.67,0.9,0.9,1.1,2,0.31,0.36,0.68,0.31,0.68
William Saliba,DF,Arsenal,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Mohammed Salisu,DF,Southampton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Albert Sambi Lokonga,MF,Arsenal,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davinson Sánchez,DF,Tottenham,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.14,0,0.14,0.14,0.14
Robert Sánchez,GK,Brighton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jadon Sancho,FW,Manchester Utd,3,3,218,2.4,1,0,1,0,0,0,0,0.41,0,0.41,0.41,0.41,0.3,0.3,0.4,0.7,0.14,0.16,0.29,0.14,0.29
Gianluca Scamacca,FW,West Ham,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.1,0.13,0.03,0.13
Fabian Schär,DF,Newcastle Utd,3,3,270,3,1,0,1,0,0,2,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
