Player,Pos,Squad,90s,Gls,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected
Player,Pos,Squad,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Pablo Fornals,MFFW,West Ham,2.4,0,3,1,33.3,1.24,0.41,0,0,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Adam Forshaw,MF,Leeds United,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tyrese Francois,FW,Fulham,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ryan Fraser,FW,Newcastle Utd,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fred,MF,Manchester Utd,1.3,0,1,0,0,0.77,0,0,,30.1,0,0,0,0,0,0.02,0,0
Conor Gallagher,MF,Chelsea,0.8,0,1,0,0,1.29,0,0,,19.7,0,0,0,0,0,0.03,0,0
Alejandro Garnacho,MF,Manchester Utd,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
David de Gea,GK,Manchester Utd,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joe Gelhardt,FW,Leeds United,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Saman Ghoddos,FW,Brentford,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Morgan Gibbs-White,FW,Wolves,2,0,3,1,33.3,1.5,0.5,0,0,11.7,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ben Godfrey,DF,Everton,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joe Gomez,DF,Liverpool,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Anthony Gordon,FW,Everton,3,0,10,7,70,3.33,2.33,0,0,16.2,0,0,0,1,1,0.1,-1,-1
Demarai Gray,FW,Everton,2.9,1,9,4,44.4,3.12,1.38,0.11,0.25,19.8,1,0,0,1,1,0.11,0,0
Jack Grealish,FW,Manchester City,1.5,0,1,0,0,0.67,0,0,,18.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Sam Greenwood,MFFW,Leeds United,0.3,0,2,0,0,6.92,0,0,,22.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1
Pascal Groß,MFDF,Brighton,3,2,4,2,50,1.33,0.67,0.5,1,11.3,0,0,0,1.2,1.2,0.31,+0.8,+0.8
Vicente Guaita,GK,Crystal Palace,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Gonçalo Guedes,FW,Wolves,1.3,0,5,1,20,3.98,0.8,0,0,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Marc Guéhi,DF,Crystal Palace,3,0,1,0,0,0.33,0,0,,7.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Bruno Guimarães,MF,Newcastle Utd,3,0,1,0,0,0.33,0,0,,26,0,0,0,0,0,0.03,0,0
İlkay Gündoğan,MF,Manchester City,2.6,2,7,2,28.6,2.73,0.78,0.29,1,15.6,1,0,0,1,1,0.14,+1.0,+1.0
Erling Haaland,FW,Manchester City,2.7,3,11,5,45.5,4.12,1.87,0.18,0.4,11.4,0,1,1,3,2.2,0.2,0,-0.2
Jack Harrison,FW,Leeds United,2.8,1,2,2,100,0.71,0.71,0.5,0.5,9.8,0,0,0,0.5,0.5,0.26,+0.5,+0.5
Kai Havertz,FWMF,Chelsea,2.8,0,5,2,40,1.78,0.71,0,0,12,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Hwang Hee-chan,FW,Wolves,1.7,0,4,2,50,2.38,1.19,0,0,19.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Dean Henderson,GK,Nott'ham Forest,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jordan Henderson,MF,Liverpool,2,0,3,0,0,1.53,0,0,,22.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Rico Henry,DF,Brentford,3,0,4,1,25,1.33,0.33,0,0,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Son Heung-min,MFFW,Tottenham,2.7,0,9,5,55.6,3.33,1.85,0,0,12.2,0,0,0,1,1,0.11,-1,-1
Aaron Hickey,DF,Brentford,2.4,0,1,1,100,0.41,0.41,0,0,14.9,0,0,0,0,0,0.01,0,0
Pierre Højbjerg,MF,Tottenham,3,1,2,2,100,0.67,0.67,0.5,0.5,23,0,0,0,0.1,0.1,0.04,+0.9,+0.9
Mason Holgate,DF,Everton,2.8,0,3,0,0,1.07,0,0,,12.4,0,0,0,0.3,0.3,0.1,-0.3,-0.3
Will Hughes,MF,Crystal Palace,0.3,0,2,2,100,6.92,6.92,0,0,14.8,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Kelechi Iheanacho,FW,Leicester City,0.4,0,1,0,0,2.5,0,0,,17.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Danny Ings,FW,Aston Villa,1.9,1,7,3,42.9,3.77,1.62,0.14,0.33,15.3,0,0,0,0.4,0.4,0.06,+0.6,+0.6
Alex Iwobi,MF,Everton,3,0,1,0,0,0.33,0,0,,25.7,0,0,0,0,0,0.03,0,0
Daniel James,FW,Leeds United,1.4,0,2,1,50,1.44,0.72,0,0,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Reece James,DF,Chelsea,3,1,5,2,40,1.67,0.67,0.2,0.5,21.2,1,0,0,0.5,0.5,0.1,+0.5,+0.5
Vitaly Janelt,MFDF,Brentford,1.7,0,1,0,0,0.6,0,0,,8.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Pontus Jansson,DF,Brentford,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mathias Jensen,MF,Brentford,2.1,1,2,1,50,0.95,0.47,0.5,1,18,1,0,0,0.3,0.3,0.13,+0.7,+0.7
Gabriel Jesus,FW,Arsenal,2.8,2,10,3,30,3.53,1.06,0.2,0.67,9.3,0,0,0,1.7,1.7,0.17,+0.3,+0.3
Raúl Jiménez,FW,Wolves,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joelinton,MF,Newcastle Utd,3,0,3,2,66.7,1,0.67,0,0,23,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Ben Johnson,DF,West Ham,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Brennan Johnson,FW,Nott'ham Forest,3,1,4,2,50,1.33,0.67,0.25,0.5,15.6,0,0,0,0.4,0.4,0.1,+0.6,+0.6
Jorginho,MF,Chelsea,2.5,1,1,0,0,0.4,0,0,,34,0,1,1,0.8,0,0.04,+0.2,0
James Justin,DF,Leicester City,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Boubacar Kamara,MF,Aston Villa,2.9,0,1,0,0,0.34,0,0,,32,0,0,0,0,0,0.02,0,0
Harry Kane,FW,Tottenham,3,2,9,4,44.4,3,1.33,0.22,0.5,15.6,0,0,0,1.7,1.7,0.18,+0.3,+0.3
N'Golo Kanté,MF,Chelsea,1.9,0,2,1,50,1.03,0.52,0,0,21.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Neeskens Kebano,FW,Fulham,1.6,0,3,1,33.3,1.84,0.61,0,0,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Thilo Kehrer,DF,West Ham,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lloyd Kelly,DF,Bournemouth,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Max Kilman,DF,Wolves,3,0,2,0,0,0.67,0,0,,8.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Mateusz Klich,MF,Leeds United,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Robin Koch,DF,Leeds United,3,0,1,0,0,0.33,0,0,,8.1,0,0,0,0,0,0.04,0,0
Ezri Konsa,DF,Aston Villa,2,0,1,0,0,0.5,0,0,,7,0,0,0,0.1,0.1,0.13,-0.1,-0.1
Kalidou Koulibaly,DF,Chelsea,2.7,1,5,3,60,1.82,1.09,0.2,0.33,15,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Cheikhou Kouyaté,MF,Nott'ham Forest,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Emil Krafth,DF,Newcastle Utd,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Dejan Kulusevski,MFFW,Tottenham,2.9,1,2,1,50,0.69,0.35,0.5,1,13.2,0,0,0,0.2,0.2,0.09,+0.8,+0.8
Adam Lallana,MF,Brighton,2.2,0,2,2,100,0.9,0.9,0,0,10.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Tariq Lamptey,DF,Brighton,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Manuel Lanzini,MFFW,West Ham,1,0,2,0,0,1.91,0,0,,28,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Roméo Lavia,MF,Southampton,3,0,2,1,50,0.67,0.33,0,0,23.3,0,0,0,0,0,0.02,0,0
Clément Lenglet,DF,Tottenham,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Bernd Leno,GK,Fulham,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jefferson Lerma,DFMF,Bournemouth,3,1,2,1,50,0.67,0.33,0.5,1,18.9,0,0,0,0.2,0.2,0.12,+0.8,+0.8
Rico Lewis,DF,Manchester City,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Keane Lewis-Potter,FWMF,Brentford,0.7,0,1,0,0,1.43,0,0,,13.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Jesse Lingard,MF,Nott'ham Forest,2.9,0,2,0,0,0.68,0,0,,10.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Diego Llorente,DF,Leeds United,3,0,2,0,0,0.67,0,0,,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Hugo Lloris,GK,Tottenham,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,0,3,0,0,1.31,0,0,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Sean Longstaff,MF,Newcastle Utd,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jamal Lowe,FW,Bournemouth,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Douglas Luiz,MF,Aston Villa,0.3,0,1,0,0,3.33,0,0,,23,0,0,0,0,0,0.04,0,0
Lyanco,MF,Southampton,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Alexis Mac Allister,MF,Brighton,3,1,5,0,0,1.67,0,0,,30.6,0,1,1,0.9,0.1,0.02,+0.1,-0.1
James Maddison,MF,Leicester City,3,2,10,3,30,3.33,1,0.2,0.67,18.9,1,0,0,0.5,0.5,0.05,+1.5,+1.5
Harry Maguire,DF,Manchester Utd,2,0,1,0,0,0.5,0,0,,5,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Riyad Mahrez,FW,Manchester City,1,0,3,1,33.3,2.9,0.97,0,0,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Tyrell Malacia,DF,Manchester Utd,1.5,0,1,0,0,0.66,0,0,,24.4,0,0,0,0,0,0.03,0,0
Orel Mangala,MF,Nott'ham Forest,1.7,0,2,1,50,1.18,0.59,0,0,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Sekou Mara,FWMF,Southampton,0.9,0,2,1,50,2.28,1.14,0,0,19.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Solly March,DFMF,Brighton,2.7,0,6,3,50,2.19,1.09,0,0,13.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Anthony Martial,FW,Manchester Utd,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Martinelli,FW,Arsenal,2.8,2,7,3,42.9,2.49,1.07,0.29,0.67,14.1,0,0,0,1.1,1.1,0.16,+0.9,+0.9
Emiliano Martínez,GK,Aston Villa,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
