Player,Pos,Squad,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Player,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive▼,PassDead,Drib,Sh,Fld,Def
Jack Colback,MF,Nott'ham Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Collins,DF,Wolves,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Colwill,DF,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Cook,MF,Bournemouth,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Cook,DF,Nott'ham Forest,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxwel Cornet,FW,West Ham,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimír Coufal,DF,West Ham,2.8,4,1.42,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Philippe Coutinho,MFFW,Aston Villa,1.7,4,2.29,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Conor Coventry,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,DF,West Ham,3,10,3.33,6,4,0,0,0,0,0,0,0,0,0,0,0,0
Marc Cucurella,DF,Chelsea,2.2,7,3.21,3,3,1,0,0,0,1,0.46,0,1,0,0,0,0
Patson Daka,FW,Leicester City,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Dalot,DF,Manchester Utd,2.9,9,3.06,8,0,0,1,0,0,0,0,0,0,0,0,0,0
Tom Davies,MF,Everton,1.2,3,2.41,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Leander Dendoncker,MF,Wolves,2.4,4,1.69,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,5,1.79,3,0,1,0,1,0,0,0,0,0,0,0,0,0
Ibrahima Diallo,MF,Southampton,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rúben Dias,DF,Manchester City,2.5,2,0.81,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Eric Dier,DF,Tottenham,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,DF,Aston Villa,3,5,1.67,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,DF,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Dos Santos,DF,Arsenal,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,MF,Everton,1.4,2,1.45,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cheick Doucouré,MF,Crystal Palace,2.7,3,1.12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Flynn Downes,MF,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,DFFW,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,DF,Brighton,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Ebiowei,FW,Crystal Palace,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ederson,GK,Manchester City,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elyounoussi,MFFW,Southampton,1.7,2,1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Eriksen,MFFW,Manchester Utd,2.9,6,2.07,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Pervis Estupiñán,DF,Brighton,0.3,2,6.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Evans,DF,Leicester City,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Łukasz Fabiański,GK,West Ham,2.3,1,0.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,MF,Liverpool,2,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,MF,Manchester Utd,3,10,3.35,9,1,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,FW,Liverpool,1.6,1,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Fofana,DF,Leicester City,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Pablo Fornals,MFFW,West Ham,2.4,10,4.13,9,0,0,1,0,0,0,0,0,0,0,0,0,0
Adam Forshaw,MF,Leeds United,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Francois,FW,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fraser,FW,Newcastle Utd,0.1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,MF,Manchester Utd,1.3,1,0.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,MF,Chelsea,0.8,3,3.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Garnacho,MF,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,GK,Manchester Utd,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gelhardt,FW,Leeds United,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saman Ghoddos,FW,Brentford,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,FW,Wolves,2,3,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,MF,Nott'ham Forest,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Godfrey,DF,Everton,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,DF,Liverpool,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gordon,FW,Everton,3,9,3,5,0,0,3,0,1,0,0,0,0,0,0,0,0
Demarai Gray,FW,Everton,2.9,8,2.77,5,1,1,1,0,0,0,0,0,0,0,0,0,0
Jack Grealish,FW,Manchester City,1.5,5,3.33,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Greenwood,MFFW,Leeds United,0.3,1,3.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Guaita,GK,Crystal Palace,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
