Player,Pos,Squad,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Player,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Jaidon Anthony,FW,Bournemouth,0.5,19,23,82.6,381,83,8,11,72.7,4,4,100,5,5,100,0,0,0,0,3,0,0,3
Michail Antonio,FW,West Ham,2.2,18,30,60,287,31,8,10,80,8,13,61.5,0,3,0,0,0.1,-0.1,2,1,1,0,1
Cameron Archer,MF,Aston Villa,0.1,1,2,50,5,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0
Alphonse Areola,GK,West Ham,0.7,18,26,69.2,588,406,6,6,100,4,4,100,8,16,50,0,0,0,0,0,0,0,0
Joe Aribo,FWMF,Southampton,2.3,41,56,73.2,520,153,30,39,76.9,9,12,75,1,2,50,0,0.1,-0.1,1,4,2,1,4
Adam Armstrong,FWMF,Southampton,1.6,25,36,69.4,473,66,13,16,81.3,7,10,70,5,8,62.5,1,0.3,+0.7,1,3,1,1,2
Stuart Armstrong,MFFW,Southampton,1.4,31,36,86.1,441,94,20,21,95.2,7,7,100,2,4,50,0,0.2,-0.2,2,1,2,1,3
Taiwo Awoniyi,FW,Nott'ham Forest,1.8,28,38,73.7,318,18,21,25,84,4,6,66.7,1,2,50,0,0.1,-0.1,1,1,0,0,1
Jordan Ayew,FW,Crystal Palace,2.5,50,64,78.1,794,87,27,30,90,17,21,81,5,7,71.4,0,0.2,-0.2,4,1,1,1,2
César Azpilicueta,DF,Chelsea,1.2,79,87,90.8,1398,459,35,37,94.6,36,39,92.3,7,10,70,0,0.1,-0.1,1,3,1,0,6
Leon Bailey,FW,Aston Villa,1.9,40,60,66.7,746,211,15,18,83.3,15,28,53.6,7,9,77.8,1,0.6,+0.4,3,1,5,1,4
Patrick Bamford,FW,Leeds United,1.2,12,16,75,109,24,9,9,100,1,4,25,0,0,,0,0,0,0,1,1,0,1
Shandon Baptiste,MF,Brentford,0.6,14,17,82.4,240,31,7,7,100,6,7,85.7,1,2,50,0,0.1,-0.1,1,1,1,0,1
Harvey Barnes,MFFW,Leicester City,0.8,19,27,70.4,253,51,12,12,100,5,10,50,1,4,25,0,0,0,0,1,1,0,2
Gavin Bazunu,GK,Southampton,3,45,99,45.5,1748,1068,2,2,100,20,20,100,23,77,29.9,0,0,0,0,4,0,0,0
Mads Bech Sørensen,DF,Brentford,0.2,7,10,70,195,125,2,2,100,3,4,75,2,4,50,0,0,0,0,2,0,0,1
Jan Bednarek,DF,Southampton,1.8,69,77,89.6,1385,376,22,22,100,39,41,95.1,7,13,53.8,0,0.1,-0.1,1,2,0,0,2
Donny van de Beek,MF,Manchester Utd,0.2,12,13,92.3,138,42,10,11,90.9,2,2,100,0,0,,0,0,0,0,0,1,0,2
Armel Bella Kotchap,DF,Southampton,2,50,73,68.5,1072,208,12,17,70.6,30,37,81.1,6,14,42.9,1,0.1,+0.9,1,3,0,0,2
Saïd Benrahma,FWMF,West Ham,2.2,48,64,75,729,110,29,33,87.9,17,21,81,1,6,16.7,0,0.5,-0.5,4,0,1,0,3
Rodrigo Bentancur,MF,Tottenham,2.8,131,147,89.1,2368,635,56,60,93.3,62,67,92.5,10,16,62.5,0,0,0,0,12,0,0,12
Philip Billing,MFFW,Bournemouth,2,43,59,72.9,700,99,24,32,75,16,20,80,3,6,50,0,0,0,1,0,0,0,2
Yves Bissouma,MF,Tottenham,0.2,10,10,100,183,23,5,5,100,4,4,100,1,1,100,0,0.1,-0.1,1,0,0,0,1
Sven Botman,DF,Newcastle Utd,2,55,67,82.1,1149,358,17,21,81,32,35,91.4,6,11,54.5,0,0.4,-0.4,1,2,0,0,4
Jarrod Bowen,FWMF,West Ham,2.9,46,70,65.7,814,222,20,25,80,20,27,74.1,6,11,54.5,0,0,0,1,3,0,0,2
Armando Broja,FW,Chelsea,0.2,3,5,60,66,17,1,2,50,2,3,66.7,0,0,,0,0,0,0,1,0,0,1
Emi Buendía,FWMF,Aston Villa,1.6,66,79,83.5,1283,312,30,31,96.8,25,33,75.8,11,12,91.7,0,0.1,-0.1,3,5,7,0,12
Dan Burn,DF,Newcastle Utd,3,85,100,85,1692,630,36,39,92.3,35,42,83.3,13,17,76.5,0,0.1,-0.1,3,6,1,1,4
