,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Player,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov▼,Won,Lost,Won%
Roberto Firmino,FW,Liverpool,1.6,0,0,0,0,1,0,0,0,3,0,0,0,10,4,5,44.4
Leon Bailey,FW,Aston Villa,1.9,0,0,0,2,1,2,8,1,2,0,0,0,10,2,7,22.2
Aaron Hickey,DF,Brentford,2.4,0,0,0,4,6,0,1,4,1,0,0,0,10,0,2,0
David de Gea,GK,Manchester Utd,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
David Raya,GK,Brentford,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
Robert Sánchez,GK,Brighton,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
Jordan Ayew,FW,Crystal Palace,2.5,0,0,0,8,3,0,5,3,6,0,0,0,9,5,10,33.3
Jack Colback,MF,Nott'ham Forest,1,0,0,0,2,1,0,0,1,5,0,0,0,9,2,0,100
Ollie Watkins,FW,Aston Villa,2.3,0,0,0,2,1,0,1,0,3,0,0,0,9,2,8,20
Marcus Rashford,FW,Manchester Utd,2.9,1,0,0,2,3,1,3,1,2,0,0,0,9,2,8,20
Tyrell Malacia,DF,Manchester Utd,1.5,0,0,0,3,1,0,2,2,1,0,0,0,9,1,2,33.3
Oriol Romeu,MF,Southampton,0.8,0,0,0,2,2,0,1,3,0,0,0,0,9,3,0,100
Thiago Alcántara,MF,Liverpool,0.6,0,0,0,0,1,0,0,1,0,0,0,0,9,2,3,40
John Stones,DF,Manchester City,1.3,1,0,0,2,0,0,0,0,0,0,0,0,9,1,0,100
Ryan Sessegnon,DF,Tottenham,1.5,1,0,0,3,1,1,4,5,4,0,0,0,8,5,3,62.5
Harry Kane,FW,Tottenham,3,1,0,0,2,4,0,2,0,2,0,0,0,8,6,8,42.9
Saïd Benrahma,FWMF,West Ham,2.2,0,0,0,2,3,3,10,0,1,0,0,0,8,0,1,0
Hwang Hee-chan,FW,Wolves,1.7,0,0,0,2,3,0,4,1,1,0,0,0,8,1,5,16.7
Ivan Toney,FW,Brentford,3,0,0,0,2,3,6,2,3,1,0,0,0,8,14,28,33.3
Martinelli,FW,Arsenal,2.8,0,0,0,5,6,0,6,3,0,0,0,0,8,2,1,66.7
Jack Grealish,FW,Manchester City,1.5,0,0,0,1,6,1,4,0,0,0,0,0,8,0,4,0
James Maddison,MF,Leicester City,3,1,0,0,6,10,0,4,0,0,0,0,0,8,1,3,25
Patrick Bamford,FW,Leeds United,1.2,0,0,0,4,0,0,2,0,0,0,0,0,8,2,2,50
Danny Ings,FW,Aston Villa,1.9,2,0,0,5,1,1,1,0,0,0,0,0,8,3,4,42.9
Mark Travers,GK,Bournemouth,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Danny Welbeck,FW,Brighton,3,0,0,0,5,3,2,1,1,4,1,0,0,7,5,13,27.8
Matt Targett,DF,Newcastle Utd,1,0,0,0,2,1,0,3,1,3,0,0,0,7,1,2,33.3
Callum Wilson,FW,Newcastle Utd,2.7,0,0,0,4,1,4,2,0,1,0,0,0,7,3,9,25
Stuart Armstrong,MFFW,Southampton,1.4,0,0,0,1,1,0,2,1,1,0,0,0,7,1,1,50
Emile Smith Rowe,MFFW,Arsenal,0.3,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,100
Darwin Núñez,FW,Liverpool,1.1,0,1,0,1,1,1,2,0,0,0,0,0,7,3,6,33.3
Yan Valery,DF,Southampton,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,2,0,100
Daniel James,FW,Leeds United,1.4,0,0,0,2,3,0,3,1,2,0,0,0,6,0,5,0
Matheus Nunes,MF,Wolves,1,0,0,0,1,1,0,1,1,2,0,0,0,6,1,2,33.3
Ayoze Pérez,MF,Leicester City,0.7,0,0,0,3,2,0,0,1,2,0,0,0,6,0,0,
Adam Armstrong,FWMF,Southampton,1.6,0,0,0,2,1,0,1,0,1,0,0,0,6,1,3,25
Gonçalo Guedes,FW,Wolves,1.3,0,0,0,1,6,0,3,1,0,0,0,0,6,0,2,0
Cristiano Ronaldo,FW,Manchester Utd,1.5,0,0,0,2,3,1,0,0,0,0,0,0,6,5,3,62.5
Manuel Lanzini,MFFW,West Ham,1,0,0,0,1,0,1,0,1,0,0,0,0,6,0,1,0
Dominic Solanke,FW,Bournemouth,1,0,0,0,5,2,0,0,0,0,0,0,0,6,2,4,33.3
Odsonne Édouard,FW,Crystal Palace,1.7,1,0,0,5,2,2,2,0,2,0,0,0,5,3,5,37.5
Michail Antonio,FW,West Ham,2.2,0,0,0,2,6,1,3,0,1,0,0,0,5,3,13,18.8
